en,ru
"Quality: %s","Качество: %s"
"Benchmark: 10 s (%s)","Замер: 10 с (%s)"
"Benchmark done: user://perf_%s.txt","Замер готов: user://perf_%s.txt"
"The world remembers. (save restored)","Мир помнит. (сохранение восстановлено)"
"The world started over. (save was lost)","Мир начал заново. (сохранение потеряно)"
"A newer save was kept. (new world)","Новое сохранение сохранено. (новый мир)"
"The child is gone.","Ребёнок ушёл."
"Remembered. Kept. Always.","Запомнен. Сохранён. Всегда."
"The note is saved.","Записка сохранена."
"The door is closed. (stone)","Дверь закрыта. (камень)"
"The world remembers.","Мир помнит."
"...the footprints are bigger than mine.","...следы больше моих."
"The door is open.","Дверь открыта."
"The fog thins.","Туман редеет."
"The world keeps what you choose.","Мир хранит то, что ты выбрал."
"The world forgot %s.","Мир забыл %s."
"The fire heals.","Огонь исцеляет."
"The fire is cold.","Огонь холодный."
"You light the small fire.","Ты зажигаешь маленький огонь."
"There is nothing to heal.","Лечить нечего."
"You take the small fire.","Ты забираешь маленький огонь."
"No room in the bag.","В сумке нет места."
"The echo shatters.","Эхо разбивается."
"The camp fire (E)","Костёр (E)"
"A small fire (E)","Маленький огонь (E)"
"Talk to %s (E)","Поговори с %s (E)"
"Write a note (E)","Написать записку (E)"
"Read your note (E)","Прочитать записку (E)"
"Look (E)","Посмотреть (E)"
"leave a note","оставить записку"
"Sound","Звук"
"Mute","Без звука"
"on","вкл"
"off","выкл"
"(deeper: level %d)","(глубже: уровень %d)"
"note","записка"
"You came back. Good. This time I'll be quick.","Ты вернулся. Хорошо. В этот раз будет быстро."
"Again? I've had this swing a hundred times.","Снова? Я делал этот взмах сто раз."
"She keeps us all. You think that's mercy? It's a cellar. And we are in it.","Она хранит нас всех. Ты думаешь, это милосердие? Это подвал. И мы в нём."
"You left it. (soft) ...he left it too. One of you will.","Ты оставил его. (тихо) ...он тоже оставил. Один из вас так и сделает."
"— (gasps) ...you felt that. It's real. That's the only part of me that's real.","— (вздыхает) ...ты это почувствовал. Это настоящее. Это единственная часть меня, которая настоящая."
"You reached the end. You always do. ...don't make me proud of it.","Ты дошёл до конца. Ты всегда доходишь. ...не заставляй меня гордиться этим."
"Tell her I said: let them go.","Скажи ей: отпусти их."
"...that was mine. I left it for you. I didn't know which you.","...это был мой. Я оставил его тебе. Я не знал, какому «тебе»."
"— (clash)","— (звук удара)"
"YOU HAVE BEEN HERE BEFORE.","ТЫ УЖЕ БЫЛ ЗДЕСЬ."
"I don't remember learning this.","Я не помню, как это выучил."
"If you find this, don't trust the version of me that comes after.","Если ты это нашёл, не верь версии меня, которая идёт после."
"Nothing should ever truly disappear.","Ничто не должно по-настоящему исчезать."
"YOU WILL OPEN THIS AFTER YOU DIE.","ТЫ ОТКРОЕШЬ ЭТО ПОСЛЕ ТОГО КАК УМРЁШЬ."
"I was here. I didn't open it.","Я был здесь. Я не открыл это."
"I was here. I came back for it.","Я был здесь. Я вернулся за этим."
"I was here. It is still waiting.","Я был здесь. Это всё ещё ждёт."
"Don't go to the lake before the mine. — E.","Не иди к озеру до рудника. — Э."
"what burned?","что сгорело?"
"That wasn't there.","Его там не было."
"Again?","Снова?"
"The kettle is cold.","Чайник остыл."
"It's clean. Warm, even.","Он чистый. Даже тёплый."
"…I forgot that.","…Я забыл об этом."
"He is kept. He is counted.","Он сохранён. Он учтён."
"You call it death because you cannot remember.","Ты называешь это смертью, потому что не можешь вспомнить."
"Welcome back, two-one-seven. I saved your seat.","С возвращением, два-один-семь. Я сохранил тебе место."
"It's heavy. Use it once. — E.","Тяжёлый. Используй один раз. — Э."
"It sees what you left. Use it gently. — E.","Он видит, что ты оставил. Используй осторожно. — Э."
